PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan
101.96,99.21,37205.62,48,194,0.38,0
101.93,99.02,37534.35,47,194,0.37,0
101.22,97.77,36662.03,44,192,0.37,0
96.91,88.56,25665.52,29,189,0.36,0
166.57,135.57,1615.38,136,1,0.35,1
112.08,107.78,947.26,45,1,0.37,1
48.43,41,131.21,23,190,0.34,0
39.36,38.36,125.49,17,1,0.34,1
52.22,51.85,296.07,20,1,0.35,1
120.9,123.06,19297.09,88,1,0.36,0
51.69,50.6,279.3,20,1,0.34,1
52.92,52.54,317.62,20,1,0.35,1
38.92,38.02,122.71,17,1,0.34,1
42.95,42.23,162.22,17,1,0.34,1
41.2,40.2,146.54,17,1,0.36,1
48.32,47.77,227.17,19,1,0.35,1
148.95,126.25,1415.71,148,87,0.36,1
41.96,41.2,170.59,17,1,0.34,1
56.69,56.24,387.18,21,1,0.35,1
89.88,71.98,296.07,107,86,0.34,1
117.73,116.3,38981.3,68,192,0.39,0
100.16,94.6,33715.92,32,191,0.35,0
100.65,95.09,32254.57,32,191,0.37,0
118.18,113.42,1233.94,53,1,0.37,1
185,149.52,37589.32,152,1,0.36,0
102.15,99.32,36177.37,47,193,0.39,0
102.26,98.78,36123.79,49,194,0.38,0
101.29,97.31,32753.59,38,191,0.36,0
92.26,73.83,331.95,109,86,0.35,1
101.22,97.77,37205.62,41,191,0.37,0
38.87,37.9,122.71,17,1,0.34,1
101.89,99.48,37314.98,50,194,0.37,0
38.08,36.83,125.49,17,1,0.35,1
76.12,74.13,601.01,27,1,0.35,1
101.81,97.7,36553.96,42,192,0.35,0
101.89,98.36,40234.43,42,192,0.38,0
101.55,82.04,375.62,114,86,0.36,1
101.78,98.16,36123.79,39,191,0.37,0
39.03,38.25,130.24,17,1,0.34,1
96.28,87.65,24244.38,29,189,0.34,0
120.26,115.22,1113.85,56,1,0.37,1
44.51,43.96,181.89,18,1,0.34,1
101.96,99.78,37534.35,55,195,0.38,0
39.25,38.25,124.56,17,1,0.34,1
44.44,43.58,207.78,18,1,0.34,1
38.47,37.55,126.43,17,1,0.34,1
69.15,67.55,584.96,25,1,0.34,1
211.89,165.21,36662.03,128,1,0.36,0
102.04,99.4,37314.98,50,194,0.37,0
131.84,115.89,947.26,138,87,0.35,1
107.51,107.98,37205.62,61,193,0.41,0
102.18,98.71,36500,47,194,0.38,0
102.04,99.02,37369.75,48,194,0.39,0
57.07,56.62,401.42,22,1,0.34,1
72.93,71.11,594.55,26,1,0.35,1
47.27,46.75,215.07,18,1,0.35,1
102.04,98.24,42701.07,43,192,0.37,0
82.94,80.33,682.48,29,1,0.36,1
23.72,24.02,70.11,13,1,0.34,0
37.78,36.45,114.72,17,1,0.35,1
38.87,37.84,132.19,17,1,0.34,1
101.74,99.55,38142.05,51,196,0.36,0
29.2,27.48,55.17,25,192,0.36,1
41.3,40.3,141.26,17,1,0.36,1
99.4,93.23,31029.35,31,191,0.37,0
102.26,99.4,37644.36,54,194,0.39,0
164.41,134.04,5614.54,142,1,0.36,1
61.18,60.45,451.71,23,1,0.35,1
45.2,44.59,197.91,18,1,0.35,1
102.26,99.78,39775.68,52,195,0.38,0
80.49,60.27,5477.85,27,190,0.37,0
100.95,95.01,32703.46,32,191,0.36,0
101.96,99.93,37205.62,54,195,0.39,0
100.99,97.31,843.77,36,1,0.35,1
118.73,116.17,39775.68,69,192,0.39,0
102.18,99.02,37920.31,51,195,0.38,0
61.33,60.55,138.18,23,1,0.35,1
47.56,47.08,227.17,19,1,0.35,1
101.78,97.38,34958.33,38,191,0.36,0
48.43,47.93,230.28,19,1,0.35,1
95.8,86.98,24408.76,29,190,0.36,0
169.24,136.5,-43.41,133,1,0.35,1
101.74,99.48,36231.02,48,194,0.4,0
257.6,186.1,37096.48,150,1,0.36,0
101.85,99.02,37314.98,47,194,0.35,0
115.85,111.35,965.34,50,1,0.37,1
38.36,37.01,117.33,17,1,0.35,1
191.44,151.88,37314.98,151,1,0.37,0
101.89,99.36,37260.28,49,194,0.38,0
